counts	n_gram
9	gone odd
9	odd red
9	slaw cancel
9	and downer
9	sit star
9	print larry
9	chuck square
9	vest right
9	say for
9	dock dock
9	downer click
9	ash say
9	air run
9	sun sun
9	work right
9	say raw
9	work yell
9	show say
9	say index
9	open larry
9	til dock
9	lack right
9	split larry
9	snake label
9	buff pit
9	constant sun
9	trap ship
9	kit enumerate
9	0 sit
9	psych dashert
9	pit click
9	say function
9	here right
9	edit paste
9	red 3
9	zip press
9	click click
9	here fox
9	skate skate
9	say corresponding
9	keys call
9	rangle rangle
9	dashert 1
9	time red
9	buff edit
9	right slashert
9	5 0
9	import anvio
9	dock vest
9	2 skate
9	quote psych
9	phipps mod
9	doll click
9	head 5
9	eekert false
9	mod write
9	partial 1
9	say of
9	plussert run
9	eekert say
9	quote right
9	say default
9	gone say
9	whale chuck
9	6 show
9	self coder
9	each look
9	sote dock
9	sun kit
9	say student
9	say custom
9	coder return
9	none write
9	corge say
9	skate slash
9	bar bar
9	buff last
9	upend psych
9	vest sit
9	sit whale
9	5 run
9	doll near
9	colon skate
9	tap snake
9	air corge
9	chuck slash
9	para feedblock
9	colon spamma
9	yes click
9	right deekert
9	sote left
9	undo psych
9	doll ship
9	say right
9	edit fox
9	skate fail
9	yes run
9	up ship
9	red yes
9	snake sample
9	dashert psych
8	vim corge
8	say call
8	nex slash
8	commy zip
8	lickop tex
8	bat python
8	smash read
8	hash hash
8	skate lesser
8	space snake
8	kill click
8	air kit
8	say to
8	TextEdit paste
8	colon right
8	sun 0
8	eekert none
8	focus Finder
8	cap yes
8	look look
8	space kill
8	anvio tests
8	ruff write
8	less lesser
8	trap sun
8	yell AAST
8	trap commy
8	each vest
8	sun cap
8	paste kip
8	say extend
8	spamma 4
8	4 spamma
8	right 3
8	near downer
8	chuck slaughter
8	add dockert
8	cap 2
8	mouser fox
8	frequency tap
8	tap ship
8	fail doll
8	diff passirk
8	fox MacDown
8	trap press
8	snake plot
8	Chrome say
8	sun empty
8	plus 2
8	say help
8	last skate
8	vest skate
8	eekert larry
8	each space
8	sote click
8	here skate
8	work sote
8	chuck snake
8	doll odd
8	paste larry
8	say factorial
8	mod sit
8	back sit
8	undo gone
8	anvy interactive
8	lease edited
8	sun conner
8	doll lack
8	6 sit
8	drickop click
8	space box
8	1 6
8	space commy
8	block down
8	slaw 2
8	say on
8	phrase log
8	dunder say
8	click para
8	say array
8	copy tex
8	space lack
8	say number
8	downer die
8	sote write
8	die kill
8	last kit
8	vak manual
8	air work
8	paste drip
8	click up
8	last window
8	larry 2
8	last ship
8	slaw ipython
8	iTerm2 run
8	say answer
8	say key
8	of interest
8	say histogram
8	sun air
8	cap doll
8	space star
8	odd hash
8	psych slaughter
8	psych eek
8	here box
8	commy quest
8	til lack
8	spamma bat
8	fourth paste
8	skate mad
8	dock undo
8	right plussert
8	last bar
8	dock kit
8	die lit
8	pit dash
8	2 click
8	say partition
8	spamma smash
8	smash in
8	in place
8	last sit
8	bartsch passit
8	here 1
8	unique call
8	square conner
8	sit plussert
8	say colour
8	say install
8	copy copy
8	trap right
8	fail slaw
8	say done
8	paste 2
8	sun downer
8	anvi gone
8	say message
8	die 2
8	slash sit
8	ship harm
8	leader kill
8	proper downer
8	cap sun
8	tap sift
8	chuck 5
8	python slaw
8	yell bowtie
8	gone die
8	copy edit
8	right sit
8	say hi
8	passirk cat
8	sit title
8	trap write
8	chuck crash
8	else space
8	downer red
8	passit odd
8	sote run
8	anvio dock
8	red larry
8	skate phipps
8	0 slaw
8	0 5
8	leach dress
8	sit yell
8	say total
8	1 8
8	gone lesser
8	click die
8	space snap
8	figure tap
8	bat ship
8	bat cap
8	larry lace
8	til air
8	trap die
8	gone pit
8	right red
8	phipps fail
8	lint range
8	commy look
8	mortar ship
8	lease paste
8	say break
8	1 nex
8	doll pit
8	say length
8	dock 3
8	die doll
8	block ship
8	buff steal
8	trap skate
8	work title
8	dockdock chuck
8	corge open
8	pit more
8	mad crash
8	lesser more
8	kip jean
8	say all
8	space dockdock
8	values call
8	lickop click
8	down left
8	quote trap
8	right air
7	say indent
7	near bat
7	yes say
7	doll sit
7	gif space
7	chuck corey
7	pit phipps
7	eekert ship
7	space cap
7	crash chuck
7	corge corey
7	7 ash
7	air slaw
7	title depth
7	vim our
7	fail die
7	say header
7	paste work
7	eek 0
7	our see
7	odd snake
7	larry last
7	fail sun
7	red sote
7	chuck gone
7	langle kill
7	slash space
7	kit near
7	steal doll
7	click spamma
7	gone click
7	it focus
7	9 dock
7	mad odd
7	left sit
7	say or
7	pit sun
7	kip pit
7	more slash
7	air write
7	lack sit
7	star gone
7	phipps air
7	edit last
7	integer larry
7	die flex
7	skate star
7	spamma colon
7	space lace
7	say profile
7	red right
7	4 run
7	TextEdit press
7	space halls
7	eekert kit
7	die chuck
7	slaw settings
7	3 0
7	kit chuck
7	slapper import
7	window last
7	drickop paste
7	snake movement
7	spamma chuck
7	lint skate
7	hashert say
7	kill kill
7	trickop fox
7	zip commy
7	patirk last
7	of the
7	say mode
7	say map
7	sun commy
7	mod kit
7	trap arch
7	startert psych
7	space fail
7	say ridges
7	odd return
7	near click
7	buff ash
7	sun click
7	lickop commy
7	air cap
7	conner psych
7	spamma paste
7	shape run
7	copy commy
7	say how
7	doll kip
7	leach space
7	connert trap
7	colon dock
7	die trap
7	quote chuck
7	space air
7	last trick
7	commy ship
7	doll phipps
7	lease lease
7	table downer
7	iTerm2 corey
7	leach last
7	doll return
7	show corge
7	cak up
7	Word fox
7	remove say
7	kit elif
7	vim slaw
7	doll sote
7	chuck tick
7	say cluster
7	leach right
7	red sun
7	ellis up
7	up corey
7	conner right
7	fg vim
7	snake assignment
7	snake teleport
7	call chuck
7	dock work
7	bat run
7	langle dock
7	sote yell
7	call skate
7	right sun
7	plot larry
7	doll skate
7	die click
7	say structure
7	true run
7	air undo
7	urge mad
7	sit work
7	click run
7	chuck plus
7	say ascending
7	click slaw
7	say while
7	slash pit
7	slaw pit
7	iTerm2 fox
7	party press
7	progress dock
7	doll space
7	say sample
7	sun arch
7	dock look
7	passit work
7	drickop google
7	air startert
7	dock sun
7	test dock
7	arch sote
7	new python
7	arch dockdock
7	sit plus
7	say some
7	joe 2
7	grep red
7	say close
7	say blue
7	near dash
7	box down
7	say order
7	right startert
7	print say
7	sit left
7	it undo
7	near slaw
7	para 2
7	smash as
7	square sit
7	rangle run
7	colon conner
7	Chrome commy
7	doll larry
7	red click
7	lack say
7	corge fox
7	snake make
7	buff more
7	sit run
7	read lines
7	show work
7	space fox
7	say what
7	undo para
7	sit lace
7	air look
7	red say
7	lack box
7	vest air
7	eekert skate
7	skate block
7	vim tilde
7	cap fail
7	slash paste
7	slaw mortar
7	say sleep
7	quest 7
7	die spamma
7	say amino
7	yes write
7	die square
7	slaw kaput
7	2 4
7	down die
7	party kit
7	conner write
7	larry 0
7	oozey dido
7	fail sote
7	say delete
7	odd space
7	mad right
7	say as
7	psych slashert
7	sit gone
7	skate para
6	sote title
6	larry yes
6	of percent
6	Finder copy
6	chuck hash
6	update to
6	gone right
6	1 ship
6	gone sit
6	call kit
6	flex ship
6	doll box
6	left spamma
6	0 2
6	focus TextEdit
6	larry title
